Nombre d'infecte actuel;Nombre d'infecte totaux;N,H,I,D;Fin : Pyramide des populations1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
4;3;4,0,0,0;
4;3;4,0,0,0;
6;5;5,1,0,0;
9;8;8,1,0,0;
10;9;9,1,0,0;
14;13;11,3,0,0;
19;18;15,3,1,0;
26;26;21,5,1,0;
27;27;22,5,1,0;
34;34;26,7,1,1;
48;48;37,8,3,1;
60;60;43,14,3,1;
79;79;58,18,3,1;
96;97;73,20,4,1;
135;136;106,26,4,1;
182;184;143,36,5,1;
253;255;197,50,8,1;
333;335;256,67,11,2;
435;437;333,86,17,2;
557;562;434,104,20,5;
729;735;565,134,29,8;
962;970;740,178,39,14;
1268;1281;979,236,49,18;
1693;1712;1323,299,67,24;
2208;2236;1743,384,82,28;
2887;2920;2284,495,106,36;
3808;3854;3032,648,131,44;
5043;5102;4013,853,174,63;
6618;6694;5253,1128,239,75;
8738;8834;6986,1440,312,97;
11467;11593;9150,1901,406,137;
15051;15210;11966,2517,539,189;
19848;20072;15815,3281,733,244;
26101;26402;20826,4311,962,304;
34368;34762;27522,5579,1262,400;
45415;45934;36301,7419,1680,535;
59670;60362;47754,9726,2194,689;
78527;79427;62832,12844,2845,907;
103352;104535;82755,16823,3746,1212;
136156;137672;108989,22184,4929,1571;
179175;181184;143475,29164,6519,2027;
235851;238525;188876,38344,8664,2642;
310435;313932;248821,50356,11302,3454;
408086;412722;327043,66320,14805,4555;
536836;542912;430025,87372,19480,6036;
706253;714217;565629,115021,25626,7942;
929360;939847;744073,151559,33757,10459;
1223149;1236909;978773,199931,44590,13616;
1610225;1628353;1288362,263188,58792,18012;
2119819;2143716;1695902,346691,77438,23686;
2790038;2821427;2232422,455644,102009,31353;
3670876;3712167;2936975,599507,134301,41385;
4831758;4886141;3866814,788390,176705,54233;
6359037;6430671;5088629,1037508,232833,71702;
8367916;8462118;6695768,1365088,307040,94223;
11011370;11135218;6928598,1412469,317816,97487;
14461823;14624680;9689629,1974487,445128,136588;

{'0-4': 614074, '5-9': 664228, '10-14': 654800, '15-19': 628777, '20-24': 667003, '25-29': 743033, '30-34': 733762, '35-39': 749331, '40-44': 730071, '45-49': 776753, '50-54': 802412, '55-59': 790851, '60-64': 710077, '65-69': 615299, '70-74': 531301, '75-79': 371084, '80-84': 319189, '85-89': 214941, '90-94': 89648, '95-99': 21018}
{'55-59': 158, '70-74': 200, '65-69': 209, '85-89': 328, '45-49': 58, '75-79': 219, '80-84': 193, '60-64': 143, '90-94': 149, '50-54': 76, '95-99': 35, '20-24': 12, '40-44': 12, '30-34': 12, '35-39': 3, '25-29': 10}
