Nombre d'infecte actuel;Nombre d'infecte totaux;N,H,I,D;Fin : Pyramide des populations1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
2;1;1,1,0,0;
2;1;1,1,0,0;
3;2;2,1,0,0;
3;2;2,1,0,0;
4;3;3,1,0,0;
6;5;5,1,0,0;
8;8;7,1,1,0;
8;8;7,1,1,0;
12;12;11,1,1,0;
14;14;12,1,1,1;
16;17;15,1,1,1;
22;23;20,2,1,1;
26;27;24,2,1,1;
33;34;29,3,2,1;
41;43;38,3,2,1;
57;59;50,7,2,1;
79;81;65,12,4,1;
102;104;83,14,7,1;
136;139;112,18,9,1;
171;174;137,24,12,2;
222;226;170,39,16,2;
298;303;235,50,16,3;
400;405;322,64,17,3;
518;523;419,79,19,7;
695;702;555,114,25,9;
915;927;741,143,33,11;
1198;1213;976,190,37,11;
1580;1600;1280,249,52,20;
2092;2116;1689,335,68,25;
2756;2789;2222,439,97,32;
3636;3676;2921,589,126,41;
4833;4887;3879,775,169,65;
6348;6425;5069,1044,226,87;
8330;8432;6646,1365,301,121;
10931;11062;8733,1793,395,142;
14341;14511;11474,2320,525,193;
18752;18966;15001,3029,683,254;
24633;24910;19744,3952,899,316;
32237;32603;25859,5153,1175,417;
42405;42887;33974,6832,1569,513;
55978;56630;44824,9063,2069,675;
73992;74823;59261,11972,2720,871;
97406;98501;78071,15760,3569,1102;
128089;129527;102583,20846,4644,1455;
168537;170424;135132,27226,6140,1927;
221792;224278;177957,35768,8019,2535;
291628;294883;233841,47140,10638,3265;
384157;388463;307880,62298,13994,4292;
505674;511374;405299,81935,18425,5716;
666419;673896;533820,108265,24282,7530;
877285;887049;702540,142616,32026,9868;
1154714;1167659;924471,188044,42159,12986;
1520200;1537193;1217096,247594,55469,17035;
2000238;2022717;1601193,325832,73339,22354;
2631864;2661433;2106752,428575,96648,29459;
3464928;3503906;2772882,564659,127462,38904;
4560286;4611423;3649413,743255,167605,51151;
