Nombre d'infecte actuel;Nombre d'infecte totaux;N,H,I,D;Fin : Pyramide des populations1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
1;0;1,0,0,0;
2;1;2,0,0,0;
2;1;2,0,0,0;
3;2;2,1,0,0;
7;6;6,1,0,0;
10;9;9,1,0,0;
12;11;10,2,0,0;
13;12;11,2,0,0;
16;15;14,2,0,0;
18;17;16,2,0,0;
28;27;26,2,0,0;
35;34;30,3,2,0;
51;50;43,6,2,0;
63;62;51,10,2,0;
84;83;67,15,2,0;
111;110;87,18,6,0;
153;153;120,28,6,0;
206;206;167,34,6,0;
274;276;222,44,10,1;
343;346;278,54,12,3;
471;475;381,73,18,4;
597;604;483,99,19,4;
767;776;621,124,25,7;
1013;1024;823,163,28,11;
1348;1362;1080,231,36,16;
1788;1804;1414,316,54,21;
2344;2368;1851,412,77,29;
3072;3104;2436,533,99,37;
4017;4065;3187,694,132,53;
5250;5316;4171,897,182,67;
6904;6993;5507,1158,247,82;
9054;9172;7219,1536,322,96;
11935;12087;9495,2027,431,135;
15852;16050;12615,2669,585,182;
20942;21192;16694,3484,782,233;
27519;27857;21925,4589,1034,310;
36060;36479;28722,6011,1324,423;
47493;48014;37875,7832,1750,558;
62420;63105;49748,10340,2293,725;
82165;83065;65572,13478,3068,948;
108457;109673;86604,17775,4056,1239;
142817;144395;114210,23267,5290,1629;
188179;190239;150419,30697,7002,2122;
247706;250421;198056,40355,9210,2801;
325750;329345;260489,53209,11991,3657;
428972;433773;343083,69978,15871,4842;
564655;571021;451837,91929,20851,6405;
743063;751424;594551,121180,27293,8401;
978824;989801;783526,159493,35828,10955;
1288915;1303419;1031941,209884,47105,14490;
1696541;1715573;1358473,276044,61846,19211;
2233144;2258148;1788211,363425,81241,25272;
2938057;2970918;2352240,478149,107311,33219;
3866867;3910186;3096036,629432,141164,43555;
5089791;5146681;4074472,828737,186136,57337;
6699881;6774595;5363010,1091282,244960,75344;
8817538;8915866;7058063,1436291,322541,98972;
11604647;11734349;9288626,1890557,424488,130679;
