Nombre d'infecte actuel;Nombre d'infecte totaux;N,H,I,D;Fin : Pyramide des populations1;0;0,1,0,0;
1;0;0,1,0,0;
1;0;0,1,0,0;
1;0;0,1,0,0;
1;0;0,1,0,0;
1;0;0,1,0,0;
1;0;0,1,0,0;
2;1;1,1,0,0;
3;2;2,1,0,0;
5;4;4,1,0,0;
6;5;5,1,0,0;
7;6;6,1,0,0;
9;8;7,2,0,0;
14;13;9,5,0,0;
19;18;12,7,0,0;
23;22;15,8,0,0;
29;28;20,9,0,0;
34;34;23,12,0,0;
41;41;29,13,0,0;
58;58;41,17,1,0;
78;78;53,23,3,0;
106;106;73,28,6,0;
137;138;94,37,7,1;
175;177;127,41,8,2;
229;232;172,51,8,2;
310;314;235,68,10,2;
411;416;321,81,13,2;
515;522;407,100,14,2;
677;686;543,124,17,3;
909;921;730,167,20,5;
1176;1192;955,203,27,8;
1556;1576;1255,267,44,11;
2083;2106;1675,347,68,17;
2743;2772;2216,449,84,24;
3572;3613;2899,571,115,29;
4647;4698;3750,753,155,41;
6169;6240;4969,1000,209,63;
8135;8223;6552,1306,277,89;
10713;10824;8631,1724,363,107;
14140;14288;11345,2311,487,146;
18527;18740;14878,3026,643,194;
24354;24627;19565,3954,844,265;
31964;32315;25709,5126,1139,342;
42074;42531;33773,6824,1476,459;
55517;56126;44515,9045,1951,616;
73169;73953;58544,11958,2628,824;
95904;96958;76815,15668,3419,1057;
125983;127391;100990,20559,4464,1379;
165456;167287;132705,26893,5865,1825;
217749;220166;174553,35418,7791,2405;
286462;289608;229592,46552,10253,3212;
377323;381516;302290,61401,13603,4223;
496281;501831;397507,80751,17969,5605;
652747;660120;522922,106212,23578,7409;
859635;869364;688300,140253,31062,9750;
1132408;1145167;906667,184604,41034,12863;
1490865;1507632;1193127,243366,54250,16890;
1961109;1983208;1569043,320390,71487,22289;
2580986;2610134;2064822,421651,94344,29318;
3394873;3433149;2716468,554267,123898,38517;
4466717;4517073;3573938,729256,163188,50692;
5879804;5946116;4704173,960217,215125,66602;
7737596;7825067;6190953,1263448,283039,87628;
10181494;10296404;8146941,1662176,372154,115134;
13401392;13552244;10724090,2186626,490109,151420;

{'0-4': 614074, '5-9': 664228, '10-14': 654800, '15-19': 628777, '20-24': 667003, '25-29': 743034, '30-34': 733759, '35-39': 749320, '40-44': 730072, '45-49': 776768, '50-54': 802450, '55-59': 790865, '60-64': 710104, '65-69': 615313, '70-74': 531316, '75-79': 371083, '80-84': 319189, '85-89': 214967, '90-94': 89687, '95-99': 21027}
{'75-79': 4886, '35-39': 9735, '45-49': 10145, '65-69': 8226, '15-19': 8332, '60-64': 9385, '50-54': 10521, '80-84': 4305, '20-24': 8789, '70-74': 7059, '40-44': 9775, '5-9': 8626, '55-59': 10582, '25-29': 9748, '85-89': 2815, '10-14': 8608, '30-34': 9734, '0-4': 8108, '90-94': 1207, '95-99': 267}
